Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Quincy Acy\acyqu01,2015,PF,24,NYK,68,22,18.9,2.2,4.9,0.459,0.3,0.9,0.300,2.0,4.0,0.494,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9,11.9,0.533,0.181,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,1.0,0.7,1.7,0.063,-2.1,-1.0,-3.1,-0.3
Jordan Adams\adamsjo01,2015,SG,20,MEM,30,0,8.3,1.2,2.9,0.407,0.3,0.8,0.400,0.8,2.0,0.410,0.465,0.5,0.8,0.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1,12.8,0.489,0.291,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,0.0,0.4,0.4,0.073,-1.2,2.6,1.4,0.2
Steven Adams\adamsst01,2015,C,21,OKC,70,67,25.3,3.1,5.7,0.544,0.0,0.0,0.000,3.1,5.7,0.547,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,14.1,0.549,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,1.9,2.2,4.1,0.111,-1.5,0.2,-1.3,0.3
Jeff Adrien\adrieje01,2015,PF,28,MIN,17,0,12.6,1.1,2.6,0.432,0.0,0.0,,1.1,2.6,0.432,0.432,1.3,2.2,0.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5,14.2,0.494,0.000,0.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,0.2,0.2,0.4,0.087,-1.9,-0.6,-2.4,0.0
Arron Afflalo\afflaar01,2015,SG,29,TOT,78,72,32.1,4.8,11.3,0.424,1.5,4.3,0.354,3.3,7.1,0.466,0.491,2.1,2.5,0.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3,10.7,0.533,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,1.6,1.0,2.6,0.050,-1.4,-1.1,-2.5,-0.3
Alexis Ajinça\ajincal01,2015,C,26,NOP,68,8,14.1,2.7,4.8,0.550,0.0,0.0,,2.7,4.8,0.550,0.550,1.2,1.5,0.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,6.5,11.7,0.533,0.370,0.230,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,1.4,0.4,1.8,0.050,-0.7,-1.2,-1.9,0.1
Furkan Aldemir\aldemfu01,2015,PF,23,PHI,41,9,13.2,1.0,1.9,0.513,0.0,0.1,0.000,1.0,1.8,0.548,0.513,0.3,0.7,0.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,8.2,0.533,0.396,0.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,0.2,0.5,0.8,0.049,-3.0,-0.8,-3.8,-0.4
Cole Aldrich\aldrico01,2015,C,26,NYK,61,16,16.0,2.4,4.9,0.478,0.0,0.0,,2.4,4.9,0.478,0.478,0.8,1.0,0.781,1.7,3.9,5.5,1.2,0.6,1.1,1.0,2.0,5.5,19.9,0.595,0.000,0.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,1.9,1.2,3.2,0.159,-0.7,0.4,-0.3,0.4
LaMarcus Aldridge\aldrila01,2015,PF,29,POR,71,71,35.4,9.3,19.9,0.466,0.5,1.5,0.352,8.8,18.5,0.475,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4,12.0,0.517,0.064,0.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,0.7,0.7,1.4,0.122,-3.9,0.4,-3.6,-0.2
Lavoy Allen\allenla01,2015,C,25,IND,63,0,17.0,2.2,4.7,0.472,0.0,0.0,,2.2,4.7,0.472,0.472,0.5,0.7,0.702,2.0,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5.0,18.1,0.513,0.000,0.213,11.6,28.9,20.0,13.3,2.0,5.5,15.2,18.3,0.8,1.4,2.2,0.107,-0.8,1.1,0.3,0.6
Tony Allen\allento01,2015,SG,33,MEM,63,41,26.2,3.6,7.2,0.495,0.2,0.5,0.345,3.4,6.8,0.505,0.505,1.3,2.0,0.627,1.6,2.8,4.4,1.4,2.0,0.5,1.4,2.6,8.6,22.8,0.528,0.074,0.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,4.9,3.7,8.6,0.165,3.2,-0.3,2.9,3.1
Al-Farouq Aminu\aminual01,2015,SF,24,DAL,74,3,18.5,2.0,4.8,0.412,0.5,1.7,0.274,1.5,3.1,0.485,0.459,1.1,1.6,0.712,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6,14.9,0.493,0.000,0.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,1.3,1.6,2.8,0.127,-0.5,0.5,0.0,0.6
Lou Amundson\amundlo01,2015,PF,32,TOT,53,35,17.7,2.1,4.8,0.427,0.0,0.0,0.000,2.1,4.8,0.429,0.427,0.8,1.6,0.471,1.8,3.3,5.1,1.3,0.4,1.0,1.2,2.4,4.9,14.6,0.528,0.064,0.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,0.9,3.2,4.1,0.119,-1.5,3.1,1.6,1.5
Chris Andersen\anderch01,2015,C,36,MIA,60,20,18.9,2.0,3.5,0.580,0.1,0.2,0.308,1.9,3.2,0.598,0.589,1.3,1.9,0.667,1.3,3.7,5.0,0.7,0.4,1.0,0.7,1.5,5.3,14.4,0.504,0.347,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,1.2,2.0,3.3,0.115,-0.7,1.5,0.7,1.0
Alan Anderson\anderal01,2015,SG,32,BRK,74,19,23.6,2.6,5.9,0.443,1.0,2.8,0.348,1.6,3.1,0.530,0.526,1.1,1.4,0.812,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2.0,7.4,11.8,0.442,0.004,0.341,11.3,22.0,16.5,12.2,1.2,4.6,17.5,17.4,-0.6,0.9,0.3,0.017,-4.1,-0.2,-4.3,-0.5
Kyle Anderson\anderky01,2015,SF,21,SAS,33,8,10.8,0.9,2.7,0.348,0.1,0.3,0.273,0.8,2.4,0.359,0.365,0.3,0.4,0.643,0.2,2.0,2.2,0.8,0.5,0.2,0.3,0.8,2.2,3.8,0.387,0.000,0.417,7.4,21.5,14.5,8.7,0.7,0.0,26.0,11.0,-0.1,0.1,0.0,-0.011,-6.7,-1.5,-8.2,-0.1
Ryan Anderson\anderry01,2015,PF,26,NOP,61,5,27.5,4.8,12.0,0.399,2.0,5.9,0.340,2.8,6.1,0.457,0.483,2.1,2.5,0.854,1.8,3.1,4.8,0.9,0.5,0.3,1.0,1.9,13.7,12.5,0.444,0.004,0.337,11.6,22.0,16.7,12.6,1.3,5.0,17.0,18.0,-0.5,0.8,0.4,0.020,-3.8,-0.1,-3.9,-0.4
Giannis Antetokounmpo\antetgi01,2015,SG,20,MIL,81,71,31.4,4.7,9.6,0.491,0.1,0.5,0.159,4.6,9.1,0.511,0.496,3.2,4.3,0.741,1.2,5.5,6.7,2.6,0.9,1.0,2.1,3.1,12.7,16.1,0.622,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,2.1,1.5,3.6,0.151,0.0,1.0,1.1,0.9
Carmelo Anthony\anthoca01,2015,SF,30,NYK,40,40,35.7,9.0,20.2,0.444,1.5,4.5,0.341,7.4,15.7,0.474,0.482,4.7,5.9,0.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,24.2,10.6,0.563,0.477,0.230,2.0,11.1,6.6,7.2,1.7,0.2,11.0,14.2,1.7,1.1,2.7,0.075,-1.7,0.2,-1.5,0.2
Joel Anthony\anthojo01,2015,C,32,DET,49,0,8.3,0.7,1.3,0.581,0.0,0.0,,0.7,1.3,0.581,0.581,0.3,0.4,0.682,0.7,1.2,1.9,0.1,0.2,1.0,0.2,1.1,1.8,8.2,0.389,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,-0.3,0.6,0.3,0.044,-3.8,2.3,-1.4,0.1
Pero Antić\anticpe01,2015,C,32,ATL,63,3,16.5,1.7,4.7,0.365,0.8,2.7,0.301,0.9,2.0,0.455,0.453,1.4,2.0,0.715,0.9,2.1,3.0,0.8,0.3,0.2,0.8,2.1,5.7,15.6,0.524,0.492,0.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,2.6,0.9,3.5,0.100,1.8,-2.1,-0.3,0.7
